137004086	lakoissa	lakko|lakka	lakka	Liuottimien ja vaarallisten aineiden määrää maaleissa ja	lakoissa	on vähennettävä , mutta siihen tarvitaan suunnitelmaa , joka on mahdollista toteuttaa myös käytännössä .
144037144	ehtoihin	ehtoo|ehto	ehto	Joka vuosi parlamentti suostuu pyhänä pidetyn vakaussopimuksen tähden	ehtoihin	, jotka asettavat jopa sen omat budjettivaltuudet kyseenalaisiksi .
2365275	ehtoihin	ehtoo|ehto	ehtoo	Kaikkein ensimmäiseksi telelaitosten on hyvissä ajoin tutustuttava lupiin liittyviin	ehtoihin	ja siihen muotoon , missä nämä luvat annetaan , joka voi nimittäin olla yksilöllinen lupa tai yleinen lupa .
179190980	kalastustoimintojen	kalastus#toiminto|kalastus#toiminta	kalastus#toiminta	Kolmanneksi , kaikkien sekakalastuksen	kalastustoimintojen	on katsottava vaikuttavan asianmukaisiin kantoihin .
3470623	kalastustoimintojen	kalastus#toiminto|kalastus#toiminta	kalastus#toiminta	joulukuuta 1996 Italian viranomaisten laatiman suunnitelman pohjalta tehdyn esityksen , jotta neuvosto tekisi päätöksen erityistoimenpiteestä , joka edistäisi italialaisten kalastajien siirtymistä toisenlaisiin tehtäviin tiettyjen	kalastustoimintojen	yhteydessä .
6583233	kalastustoimintojen	kalastus#toiminto|kalastus#toiminta	kalastus#toiminta	Tästä syystä erilaisissa kansallisissa ja kansainvälisissä yhteyksissä on useita kertoja päätetty tiettyjen	kalastustoimintojen	rajoittamisesta .
9305806	epäsuotuisia	epä#suotuisa|epä#suotuinen	epä#suotuisa	Se on ala , joka myös - mielestäni tämä on merkittävä piirre - auttaa enemmän tai vähemmän	epäsuotuisia	alueita saavuttamaan sellaista , jonka puolesta me kaikki täällä parlamentissa ja eurooppalaisissa toimielimissä taistelemme :
44980637	epäsuotuisia	epä#suotuisa|epä#suotuinen	epä#suotuisa	on tärkeää ponnistella lujasti YMP:n sisäisen tasapainon korjaamiseksi vahvistamalla sen toista pilaria , erityisesti rakennepolitiikkaa , maatalouden ympäristötoimia ja metsänhoitotoimenpiteitä ,	epäsuotuisia	alueita koskevia erityistukia ja laadukkaille tuotteille maksettavia tukia sekä muutenkin edistämällä maaseudun taloudellisen rakenteen monipuolistamista ja maaseudun kehittämistä .
21729601	epäsuotuisille	epä#suotuisa|epä#suotuinen	epä#suotuisa	Sen sijaan voimme olla yhtä mieltä siitä , että tieto- ja viestintätekniikka tarjoaa suunnattomia mahdollisuuksia	epäsuotuisille	alueille ja että kilpailu ja tekniikka mahdollistavat niiden toteutumisen .
6917154	epäsuotuisille	epä#suotuisa|epä#suotuinen	epä#suotuisa	Toisaalta , mitä tulee asetukseen Nro 2328 vuodelta 1991 , joka sääntelee	epäsuotuisille	alueille myönnettäviä korvauksia , joiden rajaamiskriteerit ovat neuvoston asetuksessa Nro 268 vuodelta 1975 , näyttää suotavalta liittää jälkimmäinen asetus asetuksen Nro 2328 uuteen versioon .
120007224	epäsuotuisia	epä#suotuisa|epä#suotuinen	epä#suotuisa	Joka tapauksessa	epäsuotuisia	alueita ei pitäisi rasittaa mukauttamisella eikä myöskään pakollisella ympäristösyihin perustuvalla kesannoinnilla .
119448257	pidetä	pidetä|pitää	pitää	Jos toimittaja on väärässä , häntä ei	pidetä	vastuullisena , ellei hän ole hyötynyt rahallisesti vääristä tiedoista .
123595933	pidettävän	pidetä|pitää	pitää	Tässä yhteydessä haluaisin muistuttaa , että perusoikeuksien asettaminen Euroopan yhdentymisen ytimeen tarkoittaa samalla sen tukemista , että Euroopan tulevaisuutta käsittelevän valmistelukunnan ja sen jälkeen	pidettävän	hallitustenvälisen konferenssin olisi sisällytettävä perusoikeuskirja Euroopan unionin perustuslailliseen sopimukseen ja tehtävä siitä oikeudellisesti sitova .
236064371	pidetty	pidetä|pitää	pitää	Olemme myös todistaneet riippumattoman median tukahduttamista , muun muassa sitä , miten Andrzej Poczobutia on	pidetty	vangittuna nyt jo useita viikkoja .
156417409	pidetty	pidetä|pitää	pitää	Sitä on ilmiselvästi	pidetty	pitkään pelkästään kalastuspolitiikkana , mutta nyt komission julkaistua meripolitiikasta vihreän kirjan , joka on parhaillaan tarkasteltavana - osallistuin hiljattain Weymouthissa aiheesta järjestettyyn konferenssiin , jonka järjesti South West Regional Development Agency - sekä tämän mietinnön myötä ja aikaisemmin tänään äänestettävänä olleen Lienemannin mietinnön myötä näyttää siltä , että olemme siirtymässä lopulta yksiulotteisesta meripolitiikasta kohti politiikkaa , jossa meriämme , valtameriämme ja rannikoitamme pidetään tärkeinä ravinnon , ympäristön , liikenteen ja matkailun kannalta .
150959428	pidettäisiin	pidetä|pitää	pitää	Jos oikeusperustana olisi 175 artikla , olisi olemassa suuri vaara , että yhä useampia tämänkaltaisia kysymyksiä	pidettäisiin	EU:n asioina ja niitä käsiteltäisiin EU:n tasolla .
124797688	Kimin	Kim|Kimi	Kim	Mainittakoon , että kansainvälisen yhteisön olisi päättäväisesti hylättävä Pjongjangin määräys - hyökkäämättömyyssopimus Yhdysvaltojen kanssa , joka otetaan käyttöön ydinaseuhan takia - myötätunnosta	Kimin	” rautaverhon ” takana olevia Pohjois-Korean kansalaisia kohtaan , joiden on elettävä olosuhteissa , joita on melkein mahdoton kuvitella , ja myös heidän turvallisuutensa takia .
125063172	Kimin	Kim|Kimi	Kim	En ymmärrä virastaan pian eroavan Etelä-Korean presidentin	Kimin	imartelevaa asennetta Pjongjangin kollegaansa kohtaan .
44493836	Kimin	Kim|Kimi	Kim	Minusta on kuitenkin oikein korostaa sitä , että monta edistysaskelta on jo otettu presidentti	Kimin	aikana , joka on ottanut ammattijärjestöt mukaan kansallisiin rakenneuudistusta koskeviin kolmen osapuolen välisiin neuvotteluihin .
50796647	Kimin	Kim|Kimi	Kim	Presidentti Kim Dae Jung on puhunut voimakkaasti laajemman kansainvälisen osallistumisen puolesta keinona ratkaista ongelma , ja voin varmasti vakuuttaa teille , että tuemme täysin presidentti	Kimin	” auringonpaiste ” -politiikkaa , kuten herra Brinkhorstkin kehotti .
84697934	Kimin	Kim|Kimi	Kim	Arvoisa puhemies , toiveet kesäkuisesta huippukokouksesta kahden	Kimin	pohjoisen ja etelän välillä näyttävät jäävän toteutumatta , ja optimismi on katoamassa .
62979652	uutisiin	uutinen|uutiset	uutiset	Liikenneturvallisuus on päässyt äskettäin ikävällä tavalla	uutisiin	:
156238701	uutisilta	uutinen|uutiset	uutiset	Minun täytyy sanoa komission jäsenelle Kallasille , ettei ole hyväksyttävää , että uusi komissio näyttää ” ampuvan viestintuojan ” ja sulkevan korvansa Luxemburgista kantautuvilta huonoilta	uutisilta	.
168687293	uutisiin	uutinen|uutiset	uutiset	Saksan kansalaiset sitä vastoin heräsivät tänään	uutisiin	, että kolme terroristia oli suunnitellut iskua Frankfurt am Mainin lentokentälle .
58607606	uutisille	uutinen|uutiset	uutiset	Odotamme vahvistusta näille surullisille	uutisille	, mutta näyttää siltä , että ne todennäköisesti pitävät paikkansa .
100861160	uutisiin	uutinen|uutiset	uutinen	Kanariansaarille suurin joukoin saapuvat laittomat maahanmuuttajat Liittyen äskettäisiin	uutisiin	siitä , että emälaivoilla tuodaan Afrikasta Kanariansaarille suuria joukkoja laittomia maahanmuuttajia , kysyn seuraavaa .
12819755	kulttuuritoiminnoille	kulttuuri#toiminto|kulttuuri#toiminta	kulttuuri#toiminta	Tämä on rehellisesti sanoen naurettavaa ottaen huomioon kulttuuriperinnölle ja yleisesti	kulttuuritoiminnoille	varatun talousarvion vaatimattomuuden .
114203833	solien	sola|sol	sola	Eivätkä ne saisi ajaa varsinkaan asutuksen , luonnonalueiden , laaksojen ja	solien	läpi .
125888888	solien	sola|sol	sola	Jos haluamme olla objektiivisia ja tehdä jossain määrin kaikille sopivia päätöksiä , sen on katettava Alppien välisten	solien	koko verkosto .
143963893	lihottavien	lihoa|lihota	lihoa	Eläimet saavat jälleen kerran väistyä , kun on tehtävä valinta niiden suojelun ja niitä	lihottavien	yhtiöiden voittojen kesken .
80881840	soisi	suoda|soida	suoda	Kunpa Jumala vain	soisi	, että voisimme rajoittaa näiden ilmiöiden laajuutta !
135805253	soisi	suoda|soida	suoda	Toivon , ettei se merkitse hänen olevan edelleenkin hieman ranskalainen toimintatavoissaan , sillä hänen	soisi	edistävän euron asemaa Pariisissa selvin sanoin .
66725708	soisitte	suoda|soida	suoda	Arvoisa varapuhemies , siksi tietyn suuren puolueen voitettua vaalit eräässä suuressa maassa	soisitte	minulle vielä mukavamman illan , jos sanoisitte :
90438144	soisi	suoda|soida	suoda	Gretchen	soisi	tämän päivän jäävän historiaan .
199397863	soisi	suoda|soida	suoda	Liiton kanssa on käyty pitkiä neuvotteluita , mutta ne eivät ole vielä johtaneet kompromissiin , joka	soisi	ALE:lle mahdollisuuden puolustaa jäsentensä etuja suoraan .
209707236	valoja	vala|valo	valo	Elektroninen turvajärjestelmä jarruttaa junaa automaattisesti , jos se ajaa päin punaisia	valoja	.
113321473	valoja	vala|valo	valo	Kiteyttääkseni ja päättääkseni puheenvuoron voisin sanoa , että olemme tänään verrattain tyytymättömiä , mutta mikään ei olisi meistä mieluisampaa kuin olla toista mieltä , ja näinä jäljellä olevina päivinä , loppukirin aikana , voitte tarjota meille yllätyksen , sytyttää lisää	valoja	ja saada varjoja vähenemään .
30462563	valoja	vala|valo	vala	Valitettavasti herättäisi vain huvittuneisuutta , jos vaatisimme myös perunan ja siementen tarkastajia vannomaan sellaisia	valoja	.
139390974	valoihin	vala|valo	valo	Päästyäni hädin tuskin 100 metrin päähän parlamenttirakennuksesta ja jouduttuani pysähtymään punaisiin	valoihin	, kuulin valtavan pamahduksen , ja autoni oikeanpuoleinen etuikkuna lyötiin sisään .
17066516	valoja	vala|valo	valo	” Jos tarvittaviin toimiin ryhdyttäisiin , me eläisimme	valoja	himmentäen , ilmastointia kiinni vääntäen , teollisen kilpailukykymme uhraten ja taloudellisen kasvumme tukahduttaen .
133950234	tammien	tammi|tamma	tammi	Ongelma on se , että metsät köyhtyvät vuosi vuodelta , niistä tulee joko pensaikkoa tai pelkkää havumetsää , jolloin ne ovat tulenarempia kuin hitaammin kasvavat	tammien	ja korkkitammien jalopuumetsät .
18421867	oikeustilanne	oikeus#tila|oikeus#tilanne	oikeus#tilanne	Meillä on joitain ongelmia suunnitellun komission suuremman toimialan osalta ja tästä aiheutuva	oikeustilanne	synnyttää myös komplikaatioita Yhdistyneen kuningaskunnan osalta .
145650004	soisi	soida|suoda	suoda	Me äänestimme sitä vastaan , koska siitä on haittaa maanviljelijöille , sillä maanviljelijät tarvitsevat ennen kaikkea varmuutta , ja sitä tämä päätöslauselma ei	soisi	.
205955792	soisi	soida|suoda	suoda	Se , että meillä oli kuuden kuukauden ajan komissio , jolla ei ollut todellista valtaa , on asia , jonka ei	soisi	toistuvan tulevaisuudessa varsinkaan tämän talous- ja finanssikriisin aikana , jolloin ratkaistavana on merkittäviä kysymyksiä , kuten ilmastonmuutos , Kööpenhamina ja niin edelleen .
81036893	soisimme	soida|suoda	suoda	Sillä miksi	soisimme	omille Euroopan kansalaisillemme vähemmän avoimuutta Brysseliin nähden kuin Yhdysvaltojen kansalaiset saavat Washingtoniin nähden ?
98251501	soisi	soida|suoda	suoda	On eräs toinenkin seikka , josta en	soisi	vaiettavan .
95808498	soisi	soida|suoda	suoda	en	soisi	, että siitä tulee tutkimusvirasto tai korkeintaan milloin mitäkin kilpailua käsittelevä ylin viranomainen .
154845335	Viroista	Viro|Vira	virka		Viroista	ja palkoista on kuitenkin varmasti erilaisia näkemyksiä .
177792981	maataloustilanne	maa#talous#tila|maa#talous#tilanne	maa#talous#tilanne	Yleinen	maataloustilanne	vaikuttaa voimakkaasti ja juuri naiset kärsivät YMP:n epäoikeudenmukaisten toimenpiteiden vaikutuksista , jotka ovat johtaneet yhä laajempaan luopumiseen pienistä ja keskisuurista tiloista ja perheviljelmistä .
49216882	maataloustilanne	maa#talous#tila|maa#talous#tilanne	maa#talous#tilanne	Olisi täysin epäloogista , jos yhden jäsenvaltion ei tarvitsisi yhteisrahoittaa Euroopan unionin laajentumista , jolla ei ole mitään tekemistä sen kanssa , että	maataloustilanne	oli erityislaatuinen vuonna 1984 .
