100051968	Vorfahren	Vorfahr|Vorfahren	Vorfahr	Sie verlangen für ihre	Vorfahren	eine Art „ moralische Grabstätte “ .
187794836	Tablette	Tablett|Tablette	Tablette	Leider werden gerade diese besonders häufig gefälscht und enthalten außer Zucker und dem Trägerstoff der	Tablette	keinerlei Wirkstoffe .
90746024	Akte	Akt|Akte	Akte	Dennoch besteht nach unserer Ansicht eine erhebliche Gefahr , dass eine sensible	Akte	sehr wohl auch Dokumente anderer Bereiche , beispielsweise das Schengen-Bündnis und die gemeinsame Asylpolitik betreffen kann .
123450282	Panzern	Panzer|Panzern	Panzer	Die kulturellen Stätten werden von	Panzern	und Helikoptern der israelischen Armee dem Erdboden gleich gemacht .
72019477	Antworten	Antwort|Antworten	Antwort	Ich möchte Sie daher informieren , daß die Kommission bereits seit längerem darum bemüht ist , Angaben aus allen Mitgliedstaaten zusammenzutragen , Fragebögen auszuwerten , die mehrfach übersandt wurden , und	Antworten	für alle Teilbereiche wie Gesetzgebung , Infrastruktur , Aktionen und Statistiken zu sammeln .
151847705	Gründen	Grund|Gründen	Grund	Bei der Ernennung der Kommission Barroso betrieb es eine selektive Hexenjagd - nicht zum Wohle Europas , sondern aus ideologischen	Gründen	und aufgrund von Machtkämpfen zwischen den Organen .
25017791	Besuchen	Besuch|Besuchen	Besuch	Bei meinen	Besuchen	in Amerika erfahre ich , daß es in Zukunft vielleicht möglich sein wird , Medikamente gegen diese Krankheit zu entwickeln .
65952800	Bergen	Berg|Bergen	Berg	Der Kommission wurde vorgeworfen , sie würde unter	Bergen	von Papier begraben ;
80352213	Mitteln	Mittel|Mitteln	Mittel	Herr Präsident , ich würde ja gern glauben , dass sowohl die Initiativen der französischen Präsidentschaft als auch die Berichte unserer Berichterstatter nach den besten	Mitteln	und Wegen suchen , wie die Legalisierung von rechtswidrig erworbenem Geld bekämpft werden kann .
204212081	Enden	Ende|Enden	Ende	Um alle losen	Enden	aufzunehmen , damit das Leid und Chaos gemindert werden kann , sind eine klare Führung und koordinierte Hilfe erforderlich .
1034215	Schotten	Schott|Schotte	Schott	Das ständige Herunternivellieren der Standards beim Asyl auf einen kleinsten gemeinsamen Nenner , der am Ende heißt , machen wir die	Schotten	dicht , ist jedoch eine Strategie , die in einigen Regierungen stärker als in anderen ausgeprägt ist , aber sie ist immerhin vorhanden .
173419165	Werten	Wert|Werten	Wert	Was wir auf dem Balkan und im Kaukasus derzeit erleben , ist ein Konflikt zwischen europäischen	Werten	und nationalistischen Tendenzen , zwischen europäischer Integration auf der einen Seite und Bewegungen und Ideen , die von Russland unterstützt werden , auf der anderen .
226456778	Messen	Messe|Messen	Messe	Friedhöfe wurden verwüstet , und christliche Bischöfe dürfen keine	Messen	halten .
233762531	Reichen	Reich|Reiche|Reichen	Reiche	Die gegenwärtige Reform führt jedoch zur Vernichtung aller kleinen Fischer , all jener , die weniger Öl verbrauchen , um die	Reichen	noch reicher zu machen .
189617258	Nerven	Nerv|Nerven	Nerv	Lassen Sie uns dies im Hinterkopf behalten , lassen Sie uns dem populistischen Druck standhalten , und lassen Sie uns trotz der Krise nicht die	Nerven	verlieren .
183985104	Pole	Pol|Pole	Pole	„ Der Ungar und der	Pole	sind zwei Brüder so fein ;
190994710	Besuchen	Besuch|Besuchen	Besuch	Ermutigend ist auch die Tatsache , dass Ministerpräsident Erdogan und der Führer der wichtigsten Oppositionspartei , Deniz Baykal , bei ihren jüngsten	Besuchen	in Brüssel ihren Einsatz für das EU -Beitrittsverfahren der Türkei zum Ausdruck gebracht haben .
10608699	Winde	Wind|Winde	Wind	Das Laboratorium wurde in alle vier	Winde	zerstreut .
93123521	Wogen	Woge|Wogen	Woge	Ich bezweifle , ob das heute auch der Fall sein wird , denn inzwischen haben sich die	Wogen	wieder geglättet .
230966776	Versuchen	Versuch|Versuchen	Versuch	Eine gegenläufige Tendenz - in Richtung der Desintegration - würde beispielsweise aus	Versuchen	entstehen , die Höhe des EU -Haushalts drastisch zu kürzen .
184681247	Sagen	Sage|Sagen	Sagen	Airbus und Boeing haben das	Sagen	.
200489383	Mitteln	Mittel|Mitteln	Mittel	nämlich die Bündelung von Anstrengungen und	Mitteln	sowie die Aufhebung dieser Aufgliederungen und Duplizierungen , und Bildung einer kritischen Gruppe , die zufriedenstellende Ergebnisse bei dieser Art Forschung vorlegen kann .
167813709	Antworten	Antwort|Antworten	Antwort	Neben den institutionellen Fragen fordern die Bürger Europas	Antworten	auf Fragen , die unmittelbar mit ihrem täglichen Leben verknüpft sind , mit denen sie anerkennen , dass Europa praktische Ergebnisse vorlegen muss , die etwas bewirken und dabei helfen , ihre Lebensbedingungen zu verbessern .
78790155	Ehren	Ehre|Ehren	Ehre	Im Namen des Parlaments möchte ich unser tiefes Bedauern zum Ausdruck bringen und den Familien unser ausdrückliches Beileid aussprechen , und wenn Sie damit einverstanden sind , möchte ich Sie erneut darum bitten , zu	Ehren	dieser Opfer eine Schweigeminute einzulegen .
22142949	Belangen	Belang|Belangen	Belang	Ich kann Herrn Elliot nur dahingehend ermutigen , dieses wichtige und berechtigte Argument bei so vielen Gelegenheiten wie möglich vorzubringen , um die Entscheidungsträger bei diesen	Belangen	ständig an die Wichtigkeit dieser Überlegungen zu erinnern .
187968513	Speisen	Speise|Speisen	Speise	Alfonso Iaccarino , ein bekannter italienischer Küchenmeister und Mitglied des Expertenausschusses zur Anerkennung der mediterranen Ernährung als Immaterielles Kulturerbe der Menschheit , empfiehlt die Rückkehr zu natürlichen , einfachen	Speisen	sowie zu Tradition , Vielfalt und Qualität beim Kochen .
4195029	Klammern	Klammer|Klammern	Klammer	andere Finanzinstrumente der Gemeinschaft , dann kommt in	Klammern	ALA , und dann kommt der Europäische Entwicklungsfonds , denn die Kommission weist zu Recht darauf hin , daß der Europäische Entwicklungsfonds kein Instrument der Gemeinschaft ist , sondern ein gemeinsames Instrument mit den AKP -Staaten .
86291589	Lachen	Lache|Lachen	Lachen	Lassen Sie mich an dieser Stelle aus Milan Kunderas Werk „ Das Buch vom	Lachen	und Vergessen “ zitieren , in dem er schreibt :
203241615	Angeln	Angel|Angeln	Angeln	Ich stimme dem Sprichwort zu , dass , wenn man vom Angeln kommt und jemanden auf dem Weg trifft , ihm das	Angeln	beibringen sollte statt ihm einen Fisch zu geben .
226714821	Erden	Erde|Erden	Erde	Hölle auf	Erden	ist die Beschreibung dessen , wie die Roma in Europa während des Zweiten Weltkrieges lebten , als Hunderttausende von ihnen aus dem alleinigen Grund ermordet wurden , dass sie Roma waren .
74365091	Bahnen	Bahn|Bahnen	Bahn	Sonst wird es nämlich gar nicht dazu kommen , daß mehr Güter zum Beispiel auf der Schiene transportiert werden , und gerade das ist ein Problem bei einigen	Bahnen	, auch bei der Deutschen Bundesbahn , um ein Beispiel zu erwähnen , daß das Vollkostenprinzip in der jetzigen Situation dazu führt , daß sehr viele die Angebote dieser Bahnen nicht annehmen , weil sie einfach zu teuer sind .
58309598	Fesseln	Fessel|Fesseln	Fessel	Es darf nicht sein , daß sich die Terroristen oder die Drogen- und Menschenhändler oder andere Kriminelle frei im europäischen Raum bewegen , nur weil der Polizei und Justiz	Fesseln	angelegt sind .
168983089	Weiden	Weide|Weiden	Weiden	Armut , politische Instabilität , Entwaldung , übermäßiges	Weiden	und schädliche Praktiken sind Faktoren , die sich negativ auf die Bodenproduktivität auswirken .
576029	Enden	Ende|Enden	Ende	Man versucht an allen Ecken und	Enden	zu sparen und kann daher seine slot -Zeiten nicht einhalten .
38706308	Schultern	Schulter|Schultern	Schulter	Die Kommission schlägt in ihrem Papier über die Reform der Gemeinschaftsfinanzen im übrigen vor , Direktbeihilfen für Einkommen der Landwirte aus dem EAGFL Abteilung Garantie zu kürzen , was einer echten Umschichtung von Lasten der Europäischen Union auf die	Schultern	der Mitgliedstaaten gleichkommt .
232985010	Stunden	Stunde|Stunden	Stunde	Wir alle möchten in den nächsten	Stunden	hören , dass sich Gbagbo ergeben hat .
122307212	Köpfen	Kopf|Köpfen	Kopf	Das Bild radioaktiver Quellen , die Sicherheitsrisiken darstellen , weil Terroristen radioaktives Material erwerben könnten , um damit schmutzige Bomben herzustellen , ist aus den	Köpfen	der Ausschussmitglieder verschwunden .
23269011	Strahlen	Strahl|Strahlen	Strahl	Es haben ja alle bisherigen Studien eindeutig erwiesen , daß die Behandlung von Lebensmitteln mit ionisierenden	Strahlen	keinerlei Gefahr für die Sicherheit und Gesundheit des Verbrauchers darstellt .
228758380	Ernten	Ernte|Ernten	Ernte	Sie wissen , Herr Kommissar , dass der Mangel an landwirtschaftlichen Erzeugnissen in den neuen Mitgliedstaaten nicht auf schlechte	Ernten	zurückzuführen ist , sondern auf die Tatsache , dass sich die Erzeugung für unsere Landwirte im Rahmen Ihrer Subventions- und Preispolitik nicht mehr lohnt .
193226979	Speisen	Speise|Speisen	Speise	Unter den Begriff Novel Food fallen mittlerweile zahlreiche Lebensmittel , die mit neuartigen Methoden hergestellt wurden und derzeit nur marginal oder überhaupt nicht auf dem europäischen Markt vertreten sind , wie aber auch dem europäischen Verbraucher schlichtweg unbekannte	Speisen	.
62172505	Bahnen	Bahn|Bahnen	Bahn	Ich hoffe , daß unsere zukünftigen Beziehungen zu Rußland dergestalt sein werden , daß alles wieder in normalen	Bahnen	verläuft .
32176752	Wogen	Woge|Wogen	Woge	Gestatten Sie mir , daß ich versuche , die	Wogen	ein wenig zu glätten .
66868339	Fetten	Fett|Fetten	Fett	Wenn das Europäische Parlament heute den Zusatz von 5 % anderen pflanzlichen Stoffen oder	Fetten	als Kakaobutter zuläßt , würde es Tür und Tor für eine Vielzahl weiterer Etikettenschwindeleien eröffnen .
228291891	Stellen	Stelle|Stellen	Stelle	Ich fordere Europa dazu auf , unverzüglich den vorgeschlagenen Europäischen Monitor für offene	Stellen	( European Vacancy Monitoring System ) mitsamt einem Europäischen Qualifikationspass einzuführen .
54246111	Sorgen	Sorge|Sorgen	Sorge	Ich mache mir darüber	Sorgen	, daß die Mitgliedstaaten bei der Durchführung , Herr Landwirtschaftsminister aus Deutschland , doch sehr stark ihre eigenen Belange im Auge haben werden .
163125871	Mühen	Mühe|Mühen	Mühe	Zugleich verlieren die Fußballvereine das Interesse daran , ihre Zeit und	Mühen	in die Entwicklung eigener Nachwuchsspieler zu investieren .
58021145	Erden	Erde|Erden	Erde	Von wem nehmen die Könige auf	Erden	Zoll oder Steuern :
182517193	Aufrufen	Aufruf|Aufrufen	Auruf	Ich möchte betonen , dass die Europäische Union auch darüber enttäuscht ist , dass die Staatsführung den	Aufrufen	der Vereinten Nationen , den Übergang zur Demokratie integrativer und legitimer zu gestalten , keinerlei Beachtung geschenkt hat .
164488878	Sagen	Sage|Sagen	sagen	“	Sagen	wir es rundheraus :
147838990	Summen	Summe|Summen	Summe	Der Haushaltsvorschlag , den die Kommission für den neuen Fonds für die Entwicklung des ländlichen Raums im Rahmen der Finanziellen Vorausschau 2007-2013 unterbreitet hat , ist äußerst unzureichend , wenn man beispielsweise die beträchtlichen	Summen	in Betracht zieht , die zur Finanzierung des Natura- 2000-Netzes aus diesem Fonds genommen werden .
172775614	Geißeln	Geißel|Geißeln	Geissel	Auch die illegale Fischerei , die als eine der großen	Geißeln	gilt , durch die der Schutz des Roten Thuns unterlaufen wird , muss entschlossen bekämpft werden .
174860032	Mühen	Mühe|Mühen	Mühe	Wir hoffen auch , dass ein Land , das die	Mühen	eines Umgestaltungsprozesses und der Anpassung an EU -Standards hinter sich gebracht hat , die Probleme erfassen wird , denen die neuen Mitgliedstaaten aufgrund unangemessener Verpflichtungen bei den erneuerbaren Energien und Treibhausgasemissionen gegenüberstehen .
215645348	Organspenden	Organspende|Organspenden	Organspende		Organspenden	und -transplantationen nehmen in Europa jedes Jahr zu und damit können tausende Leben gerettet werden .
90482164	Weichen	Weiche|Weichen	Weiche	Gerade jetzt aber , da die Universität Tetovo die	Weichen	richtig stellt , indem sie in erster Linie den albanischsprachigen Gruppen in Mazedonien eine Chance bietet , wodurch auch der Beamtenapparat wahrscheinlich weniger einseitig geprägt ist , gerade jetzt ist sozusagen die Hölle los .
173983961	Paaren	Paar|Paaren	Paar	Die steigende Zahl von	Paaren	, die sich trennen , bringt neben der zunehmenden Mobilität in der Europäischen Union immer mehr grenzüberschreitende Streitfälle über Unterhaltsansprüche mit sich .
228648579	Geißeln	Geißel|Geißeln	Geissel	In dem Text , den wir angenommen haben , werden Sachverhalte zur Sprache gebracht , die nach wie vor problematisch sind und an denen Kroatien weiter arbeiten muss , wie die Korruptionsbekämpfung , eine der großen	Geißeln	in diesem Land , sowie die bisher noch ungenügende Unterstützung von Rückkehrern .
231337897	Messen	Messe|Messen	Messe	Ebenfalls sind Käufe auf Messen jetzt als Haustürgeschäfte qualifiziert , bisher wurde in Österreich der Kauf auf	Messen	rechtlich wie der Kauf in einem Geschäft behandelt .
220898506	Preisen	Preis|Preisen	Preis	Wenn das nicht passiert , werden die Nutztierhalter in der ganzen Europäischen Union noch lange Zeit mit steigenden	Preisen	, Volatilität und der Unsicherheit fertigwerden müssen .
210736246	Decken	Decke|Decken	Decke	Lassen Sie uns jedoch heute unsere Solidarität mit Chile bekunden und daran erinnern , dass es den Menschen dort noch immer an Hygieneartikeln und dem Zugang zu Trinkwasser mangelt , ebenso wie an Nahrung , Arzneimitteln und	Decken	.
23884640	Gestalten	Gestalt|Gestalten	Gestalt	Frau Präsidentin , die Thematik und der Bericht von Frau Keppelhoff-Wiechert führen uns zu den mythischen	Gestalten	Prometheus oder Demeter .
98546403	Geißeln	Geißel|Geißeln	Geissel	Die einzige realistische Lösung besteht darin , Wege zu finden , um die Spannungen in sozialen und nationalen Konflikten zu verringern und unabhängig von Nationalität , Religion , sozialer Stellung und Weltanschauung zwischen allen Menschen guten Willens zu vermitteln , zwischen allen , die entschlossen sind , den	Geißeln	der Menschheit ein Ende zu setzen , die , wenn sie nicht zum Terrorismus führen , so doch den Boden bereiten , auf dem der Terrorismus gedeiht .
193597632	Bürgen	Bürge|Bürgen	Bürgern	werden drittens mit dem Bericht die Regierungen dazu aufgerufen , das Recht auf Internetzugang auch den ärmsten	Bürgen	in den abgelegensten Regionen einzuräumen ;
50078487	Messen	Messe|Messen	Messe	Das Drängen der Kommission auf Weiterführung der Strukturreformen und Mäßigung bei den Löhnen ist zwar richtig , jetzt jedoch sind alle	Messen	gesungen .
85888627	Nerven	Nerv|Nerven	Nerv	Das alles haben wir doch irgendwie schon erlebt , und ich kann Ihnen nur wünschen , dass Sie die Kraft und die	Nerven	aufbringen mögen , um den richtigen Kurs zu halten , wobei ich mir dessen voll bewusst bin , dass das nicht leicht sein wird .
