TOKENID	WORDFORM	LEMMACANDIDATES	GOLDLEMMA	TEXTBEFORE	WORD	TEXTAFTER
164298647	anführen	anfahren|anführen	anführen	Man kann mehrere Grundsätze und Begründungen - allesamt stichhaltig -	anführen	, um ein Höchstmaß an Zusammenarbeit bei der Überwachung und dem Ergreifen von Maßnahmen zum Schutz unserer Außengrenzen zu rechtfertigen .
16473947	anführen	anfahren|anführen	anführen	als Beispiel für eine ungenaue Formulierung möchte ich die Ziffer 2	anführen	, in der es heißt , daß die „ Pädophilie als krimineller Tatbestand “ festzulegen sei ;
165684180	anführe	anfahren|anführen	anführen	Gestatten Sie mir , dass ich noch einmal die wichtigsten Fakten der Diskriminierung der neuen Mitgliedstaaten im Rahmen der „ Gemeinsamen “ Agrarpolitik	anführe	und darauf hinweise , dass es sich dabei um statistische Daten von EU -Institutionen handelt .
192774873	anführen	anfahren|anführen	anführen	Wir , Europa , müssen den Wechsel zu einer nachhaltigen Automobilindustrie in die Hand nehmen und	anführen	- etwas , das nur möglich ist , wenn wir diesen Sektor durch diese schwerwiegende und lebensbedrohliche Rezession geleiten .
237452466	anführen	anfahren|anführen	anführen	Es gab zwar gute Gründe , die EU -Ausgaben während der Wirtschaftskrise einzufrieren , doch können wir nicht dieselben Argumente	anführen	wie vor zwei Jahren im Zusammenhang mit dem heutigen mehrjährigen Finanzrahmen .
39441619	anführen	anfahren|anführen	anführen	Abschließend möchte ich Herrn Giansily für seine profunde Analyse und seine umsichtigen Schlußfolgerungen beglückwünschen und	anführen	, was - ich glaube wohl - Herr Christodoulou unterstrichen hat , der als ehemaliger Zentralbankgouverneur diesbezüglich kompetenter ist als ich , daß nämlich in diesem Bereich nur die Erfahrung ermöglicht , sich ein Urteil über die angemessene Höhe der Devisenreserven zu bilden , und dies ist in erster Linie Aufgabe des ESZB .
72095796	anführen	anfahren|anführen	anführen	Ich finde es bedauerlich , daß die Christdemokraten Artikel 115	anführen	, da nämlich auch die letzte Version des Berichts , der französische Text , gestern nacht um 01.02 Uhr herausgekommen ist .
127984173	angehört	angehören|anhören	anhören	Sie verließen das Parlament sprachlos , empört , nicht	angehört	worden zu sein , und einige kündigten an , wiederzukommen , um alles zu zerschlagen .
151785914	angehört	angehören|anhören	angehören	Ich möchte aber mit Nachdruck feststellen , dass das , was im Innenministerium geschehen ist , auch vom stellvertretenden Vorsitzenden des Verteidigungs- und Sicherheitsausschusses , der auch Mitglied der regierenden Koalition ist und der Partei von Premierminister Dzurinda	angehört	, auf das Entschiedenste verurteilt wurde .
183928319	angehört	angehören|anhören	anhören	Ich halte den Vorschlag für sinnvoll , dass der ständige Ausschuss der Paritätischen Parlamentarischen Versammlung AKP - EU die Entschließungen weiterbehandelt , indem die für die entsprechenden Bereiche zuständigen Kommissionsbeamten	angehört	werden .
213601102	angehört	angehören|anhören	anhören	Es wurde nicht nur das Parlament , seine Mitglieder und seine für Automobilfragen und den Konkurrenzkampf zwischen Händlern und Verbrauchern zuständigen Ausschüsse	angehört	, sondern auch die Mitgliedstaaten sowie alle Betroffenen und all diejenigen , die ihre Meinung äußern wollten .
213755367	angehört	angehören|anhören	angehören	Das ist der Mann , dessen Partei Herr Mölzer	angehört	und mit dem er eng zusammenarbeitet .
233947142	angehört	angehören|anhören	angehören	Viele Kinder arbeiteten damals vor allem in der Landwirtschaft , also ist dies nicht etwas , was auch in Europa komplett dem Mittelalter	angehört	.
235995312	angehört	angehören|anhören	angehören	Ich sollte darauf hinweisen , dass meine Fraktion weder dem einen noch dem anderen Lager	angehört	, sondern einfach aufseiten von Gerechtigkeit und Aussöhnung steht .
23613208	angehört	angehören|anhören	anhören	Wir haben alle	angehört	, und unsere Schlußfolgerungen haben alle Gesichtspunkte der Innenpolitik berücksichtigt .
45389296	angehört	angehören|anhören	anhören	Auf jeden Fall aber verdient die Forderung von Herrn Nassauer Unterstützung , daß das Europäische Parlament	angehört	und seine Standpunkte vom Rat berücksichtigt werden sollten .
97985366	angehört	angehören|anhören	angehören	Herr Kommissar Vitorino , wenn Herr Schily , der deutsche Innenminister , der bekanntlich nicht meiner Partei	angehört	, im Rat so handelt , wie er in Deutschland redet , dann haben Sie mit Ihren Vorschlägen keine Chance !
102816095	Arbeiten	Arbeit|Arbeiten	Arbeit	Wie jedoch das Ergebnis dieser	Arbeiten	und die Kompromisse des Rates vom 6. und 7. Dezember zeigen , hat sich der Rat nie mit der Absicht getragen , die in der Europäischen Charta verankerten Rechte zu opfern , und das ist meiner Meinung nach das einzige Resultat , das zählt .
126951429	Arbeiten	Arbeit|Arbeiten	Arbeit	Die angewendete Strategie hat reale Fortschritte ermöglicht , und , Frau Kommissarin , wir stimmen , wie bereits gesagt , voll und ganz den Vorschlägen hinsichtlich der Maßnahmen zu , die Sie in Weiterführung dieser	Arbeiten	ergreifen wollen .
134605806	Arbeiten	Arbeit|Arbeiten	Arbeit	Die vorgeschlagene Verordnung bedeutet daher keine zusätzliche Belastung für die Mitgliedstaaten , sondern sie soll lediglich die Kontinuität der	Arbeiten	garantieren und sie auf die neuen Mitgliedsländer der Union ausdehnen .
136913400	Arbeiten	Arbeit|Arbeiten	Arbeit	Es stimmt , dass wir eine Aussprache mit dem Rat führen müssten , doch sind wir uns dessen wohl bewusst , dass wir einen Teil der Verantwortung tragen , weil wir unsere vorhergehenden	Arbeiten	hinausgezögert haben .
172932688	Arbeiten	Arbeit|Arbeiten	Arbeit	Was die Versicherungsverträge betrifft , hielten die Kommission und der Rat eine Erklärung für erforderlich , um klarzustellen , dass die Einbeziehung spezieller Regeln in die Rom-I-Verordnung nicht dazu führen darf , dass die	Arbeiten	an dem Solvency- II -Vorschlag verzögert werden .
210358459	Arbeiten	Arbeit|Arbeiten	Arbeit	Vor diesem Hintergrund schätzte die Kommission Ihre Entschließung über das politische Handeln im arktischen Raum vom Oktober 2008 , die die letzten	Arbeiten	bei der Erstellung der Mitteilung der Kommission sehr unterstützte .
226700024	Arbeiten	Arbeit|Arbeiten	Arbeit	Die	Arbeiten	sind bereits in Gange , dank des Engagements des Europäischen Parlaments und der Europäischen Kommission .
229978723	Arbeiten	Arbeit|Arbeiten	Arbeit	Der europäische Luftraum benötigt umgehende und gute Lösungen für die Zukunft und ich bestärke die Kommission sehr darin , diese	Arbeiten	abzuschließen .
35402918	Arbeiten	Arbeit|Arbeiten	Arbeit	Man darf auch keine Angst haben müssen , daß die Ausarbeitung dieser Umweltverträglichkeitserklärungen einen Stop der	Arbeiten	bedeutet , wenn diese Arbeiten gut durchgeführt wurden .
86119142	Arbeiten	Arbeit|Arbeiten	Arbeit	Der Rat und die Kommission haben in der Tat viele Änderungsanträge gebilligt und dem Parlament eine deutliche Korrektur bei der Abstimmung mit den Nutzern und dem Personal , die Einbeziehung der Beitrittskandidaten vom Beginn der	Arbeiten	an sowie eine deutliche Korrektur bei den Ausnahmeregelungen ermöglicht , da einige Länder mit vollem Recht Abweichungen anstrebten .
10046753	Arme	Arm|Arme	Arm	Es ist wichtig für Europas Sicherheit , daß wir unsere	Arme	für diese Länder öffnen .
111337066	Arme	Arm|Arme	Arm	Wenn allerdings die erste Säule wegbricht , muss die zweite verstärkt werden , weil diejenigen , die am meisten verzweifelt und entschlossen - oder gezwungen - sind zu emigrieren , sich den kriminellen Schleppern in die	Arme	werfen , die sich bereit erklären , sie in ihren Todesschiffen nach Europa zu bringen .
129267714	Arme	Arm|Arme	Arme	Können Sie vom politischen Standpunkt ernsthaft die Meinung vertreten , dass die Abschaffung dieser Präferenzen durch den Mechanismus der Graduierung Kolumbien Vorteile bringen und helfen wird , einem Land , in dem 26 Millionen	Arme	leben und 30 000 Menschen jährlich Opfer eines gewaltsamen Todes werden ?
17465833	Armen	Arm|Arme	Arme	Diese Ungleichheit zwischen Teilzeit- und Vollzeitbeschäftigten trägt in wachsendem Maße dazu bei , daß eine bestimmte Gruppe von	Armen	in Europa am schnellsten wächst .
226947977	Arme	Arm|Arme	Arm	Wir müssen verschärfte Maßnahmen ergreifen , um die Inkubation des Extremismus in unseren eigenen Hauptstädten zu verhindern und um der legitimen Zivilgesellschaft in Orten wie Ägypten und Tunesien mit gezielter Unterstützung , auch gut kontrollierter finanzieller Hilfe , unter die	Arme	zu greifen .
230217741	Arme	Arm|Arme	Arm	Jedoch werfen sich die Staatsoberhäupter unserer eigenen Länder den chinesischen Machthabern in die	Arme	, verzeihen diesen alles , was sie in ihrem Land getan haben , und lassen ihnen im Namen eines Entwicklungsmodells , das wir letzten Endes nur in geringem Ausmaß akzeptieren , die Zügel schießen .
50468854	Arme	Arm|Arme	Arme	Wir haben heute 18 Millionen Arbeitslose und 50 Millionen	Arme	.
74183818	Armen	Arm|Arme	Arme	Wir sind allerdings nicht der Meinung , daß wir unsere Hilfe im Kosovo und auf dem Balkan allein durch eine mehrjährige Umschichtung unserer traditionellen Prioritäten in der Außenpolitik , durch Kürzungen in der Zusammenarbeit mit den Entwicklungsländern und bei der Hilfe für die Ärmsten der	Armen	finanzieren sollten .
81148686	Arme	Arm|Arme	Arme	Wenn nämlich beispielsweise die Renten nicht so niedrig wären , dass sie für den Lebensunterhalt nicht ausreichen , gäbe es weniger	Arme	.
96378739	Armen	Arm|Arme	Arme	Das Volk von Seattle repräsentiert nicht die Stimme der	Armen	dieser Welt ;
133055865	aufführe	auffahren|aufführen	aufführen	Der Rat hat einen Gemeinsamen Standpunkt festgelegt , der zahlreiche Bedenken des Europäischen Parlaments im Wesentlichen übernommen hat , doch bleiben noch einige Fragen ungeklärt , die ich im Folgenden	aufführe	:
192328170	aufführen	auffahren|aufführen	aufführen	Wenn diese Punkte geklärt werden können und das irische Volk in einem zweiten Referendum später in diesem Jahr mit „ Ja “ stimmt , werden sie dann wieder wie Kobolde hier auftauchen und sich genauso empörend	aufführen	wie beim letzten Mal ?
3283598	aufführen	auffahren|aufführen	aufführen	Wir müssen dies in den Anhängen klar und detailliert	aufführen	, damit innerhalb der Union ein einheitliches Niveau der Risikobewertung angewendet wird .
55123529	aufführen	auffahren|aufführen	aufführen	Auf dieser Grundlage werden wir dann bestimmte Schlußfolgerungen ziehen , doch wir werden uns Ihnen gegenüber keinesfalls	aufführen	wie Richter in letzter Instanz .
136173338	ausführen	ausfahren|ausführen	ausführen	Ich will nicht , dass die Staaten , die die Mittel ordnungsgemäß in Anspruch nehmen und	ausführen	, benachteiligt werden , nur weil es einige schlechte Schüler in der Klasse gibt .
161460080	ausführe	ausfahren|ausführen	ausführen	Ich möchte darum bitten , Frau Präsidentin , dass bei der Konzipierung von Strategien zur Terrorismusprävention insbesondere den schrecklichen Erfahrungen der Opfer Aufmerksamkeit geschenkt und Rechnung getragen wird , wie ich in meinem Bericht	ausführe	.
162359558	ausführen	ausfahren|ausführen	ausführen	Im Einvernehmen mit den anderen Organen sollte sich die Europäische Kommission für ein bedeutendes , symbolkräftiges Projekt entscheiden und dieses	ausführen	.
235158117	ausführen	ausfahren|ausführen	ausführen	Aus diesem Grunde ist es sinnvoll , die Wirksamkeit der Maßnahmen , die sie	ausführen	, stärker im Detail zu prüfen .
26826337	ausführen	ausfahren|ausführen	ausführen	Ich würde gern noch zum Problem der Armut sprechen und würde dann zum Schluß kommen , Herr Präsident , und	ausführen	, daß … nun gut , Herr Präsident , ich beende an dieser Stelle meine Ausführungen .
5677983	ausführen	ausfahren|ausführen	ausführen	Das wird nicht nur für Europa interessant sein , sondern mit diesen Kraftfahrzeugen können wir auch andere Teile der Welt überzeugen , und sie dann dorthin verkaufen und	ausführen	.
59174343	ausführen	ausfahren|ausführen	ausführen	Jedem von uns ist wohlbewußt , daß junge Ärzte in der Ausbildung praktisch die gleichen Aufgaben	ausführen	wie ihre sogenannten „ Meister “ , die beratenden Ärzte .
69497370	ausführen	ausfahren|ausführen	ausführen	Es ist angebracht , der Rückverfolgbarkeit durch Bereitstellung vollständiger Informationen auch an Drittländer , die GVO ein- oder	ausführen	, den höchsten Stellenwert einzuräumen .
83505000	ausführen	ausfahren|ausführen	ausführen	Der Vorschlag der Kommission im Hinblick auf die Postdienste lässt einen uneingeschränkten Liberalisierungswillen erkennen , der sich gegen einen Universaldienst sowie die Unternehmen , die ihn erbringen , und die Arbeitnehmer , die ihn	ausführen	, richtet .
96476968	ausführen	ausfahren|ausführen	ausführen	Daher haben der Rat und die Regierungsvertreter der Mitgliedstaaten am 13. Juli 2001 die Aktivitäten derjenigen bedauert , die diese demokratischen Rechte missbrauchen , indem sie Gewalttaten initiieren , planen und	ausführen	, die mit öffentlichen Demonstrationen zusammenfallen .
107922637	Basen	Base|Basis	Basis	Es wäre anzunehmen gewesen , dass das Drama vom 11. September die europäischen Länder veranlasst hätte , sich eingehend mit der Frage zu befassen , warum die islamistische Internationale des Terrors sich ausgerechnet Europa ausgesucht hat , um hier ihre	Basen	einzurichten , von denen aus der Schlag gegen Amerika geführt wurde .
137322166	Basen	Base|Basis	Basis	Außerdem muss unbedingt dafür Sorge getragen werden , dass die demokratische israelische Regierung zurückhaltend reagiert , und man muss die Nachbarländer in der Region mahnen , keine Terroristengruppen zu beherbergen , in deren	Basen	kriminelle Aktivitäten genährt und unternommen werden .
138658750	Basen	Base|Basis	Basis	Erstens sind da die militärischen	Basen	, deren Abbau die Russen schon vor Jahren zugesagt hatten .
157775201	Basen	Base|Basis	Basis	Das hat ganz viel damit zu tun , dass neben dem Prozess , den mein Vorredner angesprochen hat , noch ein anderer Prozess stattfindet , nämlich das Outsourcing , wodurch eben nicht jene sozialen	Basen	in den Ländern geschaffen werden , über die wir zu einem tatsächlich sinnvollen Sozialmodell für ein starkes Europa kommen könnten .
203738767	Basen	Base|Basis	Basis	Bedauerlicherweise ist das größte Opfer des militärischen Drucks , den die DR Kongo gegenwärtig ausübt und durch den diese Extremisten von ihren	Basen	und von ihren Einnahmequellen abgeschnitten werden sollen , die Zivilbevölkerung , die Opfer von Kollateralschäden ist , aber auch unter der Verurteilung durch die eine Seite und den Gewalttaten der anderen Seite leidet .
24010968	Basen	Base|Basis	Basis	Solche	Basen	fallen nicht nur nicht unter die Gerichtsbarkeit der Gastländer , sondern eventuelle strafbare Handlungen des amerikanischen Personals dieser Basen unterliegen nicht der Gerichtsbarkeit des Landes , in dem sie begangen wurden ;
24010987	Basen	Base|Basis	Basis	Solche Basen fallen nicht nur nicht unter die Gerichtsbarkeit der Gastländer , sondern eventuelle strafbare Handlungen des amerikanischen Personals dieser	Basen	unterliegen nicht der Gerichtsbarkeit des Landes , in dem sie begangen wurden ;
3844432	Basen	Base|Basis	Basis	Herr Präsident , heute den Prozeß von Barcelona zu unterstüzten , bedeutet , seine Vertiefung zu verlangen , die an aller erster Stelle auf politischer Ebene durchgeführt werden muß , in einem Bereich , in dem es notwendig ist , daß Europa mit seinen Mittelmeerpartnern ein wirklich selbständiges regionales Sicherheitssystem aufbaut , in dem die Anwesenheit von Mächten von außerhalb der Region auf ein Minimum verringert wird - vergessen wir nicht die nordamerikanischen	Basen	und die US -Flotte - , und in dem die grundlegenden Ziele , die Förderung der Demokratie und die Achtung der Menschenrechte sind - erinnern wir uns an die Türkei , Algerien oder Marokko - zusammen mit der Schaffung von Maßnahmen des Vertrauens , der Stabilität und der konventionellen und nuklearen Abrüstung , wofür es notwendig sein wird , ein regionales Handlungsinstrument aufzubauen , das auf der OSZE ähnlichen Prinzipien und Verfahren beruht .
76668181	Basen	Base|Basis	Basis	Das Vereinigte Königreich hat angesichts großen sozialen Drucks im Land beschlossen , seine Operations- und Reparaturbasen für Atom-U-Boote in die Bucht von Algeciras zu verlegen , ohne seine eigenen Bestimmungen zu respektieren , die besagen , dass sich derartige	Basen	nicht in dicht besiedelten Gegenden befinden dürfen .
76668250	Basen	Base|Basis	Basis	Aus allen diesen Gründen ersuchen wir Andalusier dieses Parlament und sein Präsidium , über die bilateralen diplomatischen Interessen zweier Mitgliedstaaten hinaus die entsprechenden Konsultationen und Verhandlungen zu führen , um die sofortige Verlegung dieses Unterseeboots in	Basen	zu ermöglichen , die ausreichende Sicherheitsbedingungen zu seiner Reparatur bieten , und um somit den entstandenen Besorgnissen in der Bevölkerung ein Ende zu setzen .
105783443	bedacht	bedachen|bedenken	bedenken	Hat das die Kommission wirklich	bedacht	?
129559862	bedacht	bedachen|bedenken	bedenken	Es war daher richtig , dass das Europäische Parlament noch vor dem Rat und der Kommission darauf	bedacht	war , Europa nicht nochmals zu unterteilen , um jeden Beitrittskandidaten einzeln nach seinen individuellen Fortschritten zu beurteilen .
17630883	bedacht	bedachen|bedenken	bedenken	Frau Präsidentin , Frau Kommissarin , meine Damen und Herren , wenn der erste Dreijahresbericht über die Kohäsion ein gutes Dokument der Analyse und der Überlegung war , für das die Kommission und besonders die Generaldirektion XVI mit Beifall	bedacht	wurden , so stellt der Bericht , den uns unser Mitarbeiter Juan de Dios Izquierdo über dieses Dokument präsentiert , einen ausgeglichenen , gut strukturierten Text dar , der eine rigorose und tiefgreifende Analyse beinhaltet und dessen einfache Lesart die große Anstrengung , die seine Ausarbeitung mit sich gebracht hat , widerspiegelt .
38314596	bedacht	bedachen|bedenken	bedenken	Abschließend stimme ich mit Herrn Mulder überein , daß die Gemeinschaft in den internationalen Gremien sehr auf den Schutz der Qualitätspolitik	bedacht	sein muß .
43675552	bedachten	bedachen|bedenken	bedenken	Die auf Meinungsfreiheit	bedachten	demokratischen Gesellschaften tun sich schwer , dagegen anzugehen ;
48402343	bedacht	bedachen|bedenken	bedenken	Selbstverständlich stimme ich dem Änderungsantrag 12 zu , demzufolge vorrangig solche Studenten bei der Vergabe von Stipendien im Rahmen von „ Erasmus “	bedacht	werden sollen , deren finanzielle Lage durch eine spezielle Unterstützung verbessert werden muß .
71281336	bedacht	bedachen|bedenken	bedenken	Doch möchte ich an Herrn Nielson die Frage richten , ob er etwas	bedacht	hat , was für diese Seite des Hohen Hauses von großer Bedeutung ist - die Weltbanktochter IFC ist in der Lage , den privaten Sektor mit Geldmitteln zu unterstützen .
77429282	bedacht	bedachen|bedenken	bedenken	Zweitens muss sicherlich das Zeitargument sorgfältig	bedacht	werden - ich habe es vernommen , Herr Minister , wobei es sich um ein gewichtiges Argument handelt - , d.h. dass das Thema noch nicht ausgreift ist und die Mehrheit der Mitgliedstaaten gegenwärtig eine ablehnende Haltung einnimmt .
80517516	bedacht	bedachen|bedenken	bedenken	“ Ein guter Familienvater muss zwar auf die Sicherheit seiner Kinder	bedacht	sein , doch darf er sie nicht unter einer Glasglocke behüten , denn sie müssen ihren Weg auch allein gehen können .
94855786	bedacht	bedachen|bedenken	bedenken	Die Kommission hat umfassende Erfahrung in ihren eigenen Beziehungen und Beratungen mit der Zivilgesellschaft wir waren darauf	bedacht	, unsere Kenntnisse mit den G- 8-Mitgliedern zu teilen , und hoffen , dass sich diese Art von Dialog weiter durchsetzt und weiter entwickelt .
136011288	betrüge	betragen|betrügen	betragen	Die Wachstumsrate im Vergleich zu diesem Jahr	betrüge	also 3,2 % , das zeigt , dass alle Befürchtungen , dass die Erweiterung nicht finanzierbar sei , schlichtweg nicht berechtigt waren .
190821472	betrügen	betragen|betrügen	betrügen	Bestenfalls	betrügen	wir uns selbst , schlimmstenfalls betrügen wir wissentlich unsere Wähler .
190821478	betrügen	betragen|betrügen	betrügen	Bestenfalls betrügen wir uns selbst , schlimmstenfalls	betrügen	wir wissentlich unsere Wähler .
198206263	betrüge	betragen|betrügen	betragen	In diesem Jahr	betrüge	die Bevölkerungszahl Afrikas dann das Doppelte der Bevölkerungszahl des europäischen Kontinents .
201365581	betrügen	betragen|betrügen	betrügen	Wieder einmal winken wir diesen Haushaltsplan trotz all der darin enthaltenen Fehler einfach durch und	betrügen	damit diejenigen , die uns hierher gebracht haben , nämlich unsere Wähler und auch unsere Steuerzahler , da die Mehrheit der Personen in diesem Haus eine „ Ob gut oder schlecht , Hauptsache Europa “ -Haltung einnimmt und es vorzieht , die Dinge von Brüssel schlecht machen zu lassen anstatt von den Mitgliedstaaten gut machen zu lassen .
26026341	betrügen	betragen|betrügen	betrügen	Andernfalls	betrügen	wir uns gegenseitig , und dann wäre es besser , die Fassade ganz wegzulassen , zu der die mehrjährigen Ausrichtungspläne ansonsten würden .
3631337	betrügen	betragen|betrügen	betrügen	lügen und	betrügen	.
38789821	betrüge	betragen|betrügen	betragen	Ein höherer Prozentsatz - wenn die Absenkung zum Beispiel nur , 5 %	betrüge	- oder gar ein positiver Prozentsatz würden bedeuten , daß die Option von Artikel 203 vorteilhafter wäre als die Finanzielle Vorausschau der Kommission .
56983604	betrügen	betragen|betrügen	betrügen	Wir	betrügen	uns selbst , wenn wir so wenig in neue Denkweisen investieren .
70698452	betrügen	betragen|betrügen	betrügen	Wir wollen , daß diese beiden Debatten eigenständig geführt werden , und wir greifen hier in unserem Vorschlag - ganz zu Recht - jene an , die durch das schmarotzerhafte Vorgehen der Produktfälschung die Menschen ausnehmen , sie verwirren und	betrügen	, was unter Umständen auch zu größerem Schaden an der Gesellschaft führen kann .
101741047	geboten	bieten|gebieten	gebieten	Ich glaube auch , dass eine Ausdehnung auf Mazedonien wirklich	geboten	ist , da den schwierigen politischen Prozessen einfach etwas nachgeholfen werden muss .
110986354	geboten	bieten|gebieten	gebieten	Wenn jemand seine ganze Energie einer Branche widmet , die so viel zu einer ausgewogenen Entwicklung der Regionen der Europäischen Union und damit zur europäischen Integration beiträgt , die gleichzeitig jedoch so empfindlich , so sensibel auf jedwede Art von Krise reagiert , so wird es jeder Unternehmer , jeder Arbeitnehmer und jeder europäische Bürger als rechtens und selbstverständlich	geboten	ansehen , ihn nicht seinem Schicksal zu überlassen .
127143993	geboten	bieten|gebieten	gebieten	In einem bemerkenswerten Vortrag stellte selbst Adair Turner , der Generaldirektor des britischen Unternehmerverbandes , fest , dass Vorsicht	geboten	ist hinsichtlich des Abbaus des Wohlfahrtsstaats und dass die Liberalisierungsagenda für Europa zwar nützlich sei , doch nur teilweise zur Lösung der anstehenden Herausforderungen beitragen könne .
132852144	geboten	bieten|gebieten	bieten	Die wirksamsten Mittel sind politischer Art. Wenn den Palästinensern eine glaubwürdige Perspektive	geboten	wird , über einen echten Staat zu verfügen , der zwar klein , jedoch mit der Souveränität und der territorialen Kontinuität ausgestattet ist , die für die Existenz eines vollwertigen Staates - nicht eines Pseudo- oder Scheinstaates - erforderlich sind , dann wird der Stern der Hamas endgültig verblassen .
166491639	geboten	bieten|gebieten	gebieten	Hilfe auf diesem Gebiet ist dringendst	geboten	.
176444099	geboten	bieten|gebieten	gebieten	Gleichwohl wäre es dringend	geboten	, über den physischen und geografischen Bereich hinaus größere Anstrengungen im politischen und wirtschaftlichen Bereich zu unternehmen .
179675511	geboten	bieten|gebieten	bieten	Damit soll die Möglichkeit	geboten	werden , das DNA -Profil einer Person mit den künftigen Datenbanken von 27 nationalen Kontaktstellen zu vergleichen .
