TOKENID	WORDFORM	LEMMACANDIDATES	GOLDLEMMA	TEXTBEFORE	WORD	TEXTAFTER
henkilötietojen	henkilö#tiedot|henkilö#tieto	henkilö#tiedot	Komission tulisikin selvittää tekijänoikeuksien , tavaramerkkien , harhaanjohtavan mainonnan ja	henkilötietojen	suojaamisen ongelmat nopeasti .
edustajantoimen	edustajan#toimi|edustaja#toimi	edustajan#toimi	Jos haluamme esitellä Euroopan kansalaisille heidän Eurooppanaan eikä jonkin poliittisen ryhmän Eurooppana , meidän on otettava huomioon tiukka vallanjako ja kaksinkertaisen	edustajantoimen	poistaminen .
yhteenvetona	yhde#veto|yhteen#veto	ytheen#veto	Arvoisa puhemies ,	yhteenvetona	voin sanoa , että mielestäni meidän on vedottava siihen enkä halua vaikuttaa liian dramaattiselta että kaikki voisivat hyväksyä Nizzan tulokset edes jossakin määrin .
laajentumiskehitykselle	laajentua#kehitys|laajentuminen#kehitys	laajentumis#kehitys	Nizzan ja Göteborgin huippukokoukset antoivat uutta vauhtia	laajentumiskehitykselle	.
Asianajajien	asia#ajaja|asian#ajaja	asian#ajaja		Asianajajien	lukumäärä kasvoi Saksassa jyrkästi , kun samaan aikaan maksuja koskevaa Gebührenordnung-asetusta höllennettiin .
merentutkimusneuvoston	meri#tutkimus#neuvosto|meren#tutkimus#neuvosto	meren#tutkimus#neuvosto	Kansainvälisen	merentutkimusneuvoston	( ICES ) tutkijoiden mielestä Pohjanmeren , Irlanninmeren ja Skagerrakin turskakantoja uhkaa täydellinen häviäminen , ja he vaativatkin täydellistä kalastuskieltoa .
parlamenttivaaleja	parlamentti#vaali|parlamentti#vaalit	parlamentti#vaali	Kun kansallisen parlamentin toimikausi päättyi kaksi vuotta sitten ,	parlamenttivaaleja	ei järjestetty .
kannanotosta	kanna#oto|kanta#oto|kanta#otto|kanna#otto|kannan#otto	kannan#otto	Lisäksi uskon , että voimme täten toteuttaa pienen osan unionin yhteistä ulkopolitiikkaa , ja sen vuoksi kiitän myös ulkopoliittisen valiokunnan	kannanotosta	rauhanjoukkojen suhteen .
elämänaloilla	elämä#ala|elämän#ala	elämän#ala	Arvoisa puhemies , arvoisa komission jäsen , maailma on joutunut peruuttamattoman globalisaation kouriin useilla	elämänaloilla	.
ilmastonmuutoskonferenssin	ilmaston#muutos#konferenssi|ilmasto#muutos#konferenssi	ilmasto#nmuutos#konferenssi	On myös tehtävä johtopäätökset Kööpenhaminan	ilmastonmuutoskonferenssin	odotettua heikommista tuloksista , koska siellä ei tehty tärkeitä yksityiskohtaisia päätöksiä .
moottoriteitä	moottori#tie|moottori#tee	moottori#tie	Ajattelen suurnopeusjunia , suuria	moottoriteitä	, joiden suhteen pitäisi tehdä jotakin .
kannanoton	kanta#oto|kanta#otto|kannan#otto|kanna#otto|kanna#oto	kannan#otto	tammikuuta esitin hyvin selvän	kannanoton	Gazan tilanteesta , koska tajusin , että asiat olivat yksinkertaisesti menneet liian pitkälle .
toissijaisuusperiaatteen	toinen#sijaisuus#periaate|toinentri#sijaisuus#periaate|tois#sijaisuus#periaate	tois#sijaisuus#periaate	Mielestämme nyt on sopiva aika tällaisen arvioinnin tekemiseen , ja olemme sitä mieltä , että Euroopan parlamentin olisi pitänyt kirjoittaa tämä päätöslauselmaansa ja tuoda täten esiin , että se tahtoo selkeyttää	toissijaisuusperiaatteen	sisältöä EU:n jäsenvaltioiden kansalaisille .
yhteentoimivuudeksi	yhteen#toimivuus|yhde#toimivuus	yhteen#toimivuus	Pyrimme erityisesti parantamaan toimintavalmiuteen saattamisen nopeutta , aikakapasiteettia ja koordinointikykyä , mitä nimitämme eurooppalaisten joukkojen	yhteentoimivuudeksi	.
neuvotteluvaltuuksien	neuvotella#valtuus|neuvottelu#valtuus	neuvottelu#valtuus	Me ruotsalaiset sosiaalidemokraatit päätimme äänestää vuoden 2011 talousarviota koskevien	neuvotteluvaltuuksien	puolesta .
maailmanhistorian	maa#ilma#historia|maa#ilman#historia	maa#ilman#historia	Tämä imperiumin rakentaminen , joka toteutetaan perustamalla yksi yhteinen oikeusjärjestelmä , on	maailmanhistorian	pahimpia sortojärjestelmiä .
rikosoikeudenkäyntejä	rikos#oikeuden#käynti|rikos#oikeus#käynti	rikos#oikeuden#käynti	Emme esimerkiksi voi yhdenmukaistaa rikosoikeutta ,	rikosoikeudenkäyntejä	, syyttäjäviranomaisten koulutusta tai tuomioistuinjärjestelmää .
vastuuntuntoon	vastuu#tunto|vastuun#tunto	vastuun#tunto	Vetoan Italian hallituksen	vastuuntuntoon	, jotta se varmistaisi kaikkien sen käytössä olevien aloitteiden toteuttamisen , sekä Euroopan komission vastuuntuntoon , jotta se toteuttaisi siirtolaisten tilapäisestä suojelusta annetussa EU:n direktiivissä säädetyt toimenpiteet .
Kreetalla	Kreetta|Kreeta	Kreeta	On muistettava , että	Kreetalla	, Kyproksella ja Algarvessa banaanin tuotantoala on alle 400 hehtaaria ja tuotantoon osallistuu yhteensä noin 300 tilaa .
luonnonmullistuksia	luonto#mullistus|luonnon#mullistus	luonnon#mullistus	stä	luonnonmullistuksia	koskevasta päätöslauselmaesityksestä :
teräsalalle	terä#sala|teräs#ala	teräs#ala	määrärahojen uudelleen jakaminen hiili- ja	teräsalalle	ottaen huomioon niiden tarpeet ja erityisesti lisäämällä sosiaalitukea hiilialalla ja tutkimustukia teräsalalla
hinnannoususta	hinnan#nousu|hinta#nousu	hinnan#nousu	Öljyn ja kaasun	hinnannoususta	seuraa Liettuassa sähkön hinnan vähintään kaksinkertaistuminen .
asiakirjoja	asia#kirja|asia#kirjo	asia#kirja	On itsestään selvää , että joukossa voi olla myös luottamuksellisia	asiakirjoja	.
vastuuntuntoisesta	vastuun#tuntoinen|vastuu#tuntoinen	vastuun#tuntoinen	Vuonna 2006 EU jatkoi muun muassa YK:n elintarvike- ja maatalousjärjestö FAO:n	vastuuntuntoisesta	kalastuksesta laatimien menettelyohjeiden täytäntöönpanosopimusta koskevan kysymyksen käsittelyä .
bruttokansantuotettaan	brutto#kansan#tuote|brutto#kansa#tuote	brutto#kansan#tuote	Open Europen ja Oxford Economic Forecastingin laatima raportti osoittaa , että Yhdistynyt kuningaskunta voisi kasvattaa	bruttokansantuotettaan	1,4 prosentilla , jos se harjoittaisi vapaasti kauppaa muun maailman kanssa ja jatkaisi samalla vapaakauppasopimusta Euroopan unionin kanssa , toisin sanoen eroaisi Euroopan unionista mutta harjoittaisi vapaasti kauppaa Euroopan ja muun maailman kanssa .
neuvottelutulos	neuvottelu#tulos|neuvotella#tulos	neuvottelu#tulos	Tarkoituksena on kertoa , että suuri osa tiestä on tosiaankin jo kuljettu , koska edellisen neuvottelijan aikaansaama	neuvottelutulos	siirtyy myös seuraavan neuvottelijan hyväksi suosituimmuuslausekkeen välityksellä .
oikeudenmukaisten	oikeus#mukainen|oikeuden#mukainen	oikeuden#mukainen	Sen vuoksi meidän olisi varottava puhumasta	oikeudenmukaisten	palautusten periaatteesta ( juste retour ) .
asianmukaisuudesta	asian#mukaisuus|asia#mukaisuus	asian#mukaisuus	Vuoden 2011	asianmukaisuudesta	totean , että neuvosto ilmoitti , että maksumäärärahojen tason ei pitäisi ylittää 2,91 prosentin korotusta vuoden 2010 talousarvioon verrattuna .
maailmanmestaruuskisat	maa#ilma#mestaruus#kisa|maa#ilman#mestaruus#kisa	maa#ilman#mestaruus	On sanottava , että Cardiffin huippukokouksen saavuttama vastakaiku yleisessä mielipiteessä oli ehkä vain tuhannesosa siitä , mitä jalkapallon	maailmanmestaruuskisat	saivat osakseen .
perustamissopimuksissa	perustaa#sopimus|perustamis#sopimus|perustaminen#sopimus	perustamis#sopimus	Ettekö ole sitä mieltä , että mikäli neuvosto tekee historiallisia kansakuntia , alueita tai liittovaltioita koskevia päätöksiä , jotka on tehty ilman näiden osallistumista tai hiljaista suostumusta , ja sen takia syntyy toimivaltakiistoja , näiden jälkimmäisten perustuslaissa määriteltyjen tahojen pitäisi olla oikeutettuja vetoamaan yhteisöjen tuomioistuimeen , jolle on	perustamissopimuksissa	annettu valtuudet käsitellä ja antaa tuomioita näissä konflikteissa ?
suosionosoituksin	suosion#osoitus|suosio#osoitus	suosion#osoitus	Koska ehdokkaiden lukumäärä ei ylitä täytettävien paikkojen määrää , ehdotan , että valinta tapahtuu Euroopan parlamentin työjärjestyksen 12 artiklan 1 kohdan mukaisesti	suosionosoituksin	, vaikkakin ensin on suoritettava koneäänestys arvojärjestyksen määrittelemiseksi .
lainsäätämisjärjestyksen	laki#säätäminen#järjestys|lain#säätäminen#järjestys|laki#säätämis#järjestys	lain#säätämis#järjestys	Euroopan parlamentin valta on Lissabonin sopimuksen ratifioinnin johdosta vahvistunut , ja se toimii nyt toisena lainsäätäjänä lähes kaikilla aloilla tavallisen	lainsäätämisjärjestyksen	mukaisesti .
asiantuntijaryhmän	asian#tuntija#ryhmä|asia#tuntija#ryhmä	asian#tuntija#ryhmä	Olemme käyttäneet olemassa olevia rakenteita kutsuaksemme koolle riippumattoman	asiantuntijaryhmän	Euratom-sopimuksen mukaisesti .
epäoikeudenmukaisuus	epä#oikeuden#mukaisuus|epä#oikeus#mukaisuus	epä#oikeuden#mukaisuus	oikeudenmukaista järjestelmää Pohjois-Irlannissa , jossa	epäoikeudenmukaisuus	johtaisi aseistettuun konfliktiin alueella , jolla on nähty aivan liikaa väkivaltaa ;
tulipalot	tuli#palko|tuli#palo	tuli#palo	Esityslistalla on seuraavana komission julkilausuma luonnonkatastrofeista (	tulipalot	ja tulvat ) .
ihmisalkioista	ihmis#alkio|ihminen#alkio	ihmis#alkio	Tämä tarkoittaisi sitä , että	ihmisalkioista	ei tarvitsisi sittenkään tehdä kantasolulinjoja .
kulttuurienvälisen	kulttuurien#välinen|kulttuuri#välinen	kulttuurien#välinen	Puheenjohtajakausi sattuu vuodelle 2008 , joka on samalla	kulttuurienvälisen	vuoropuhelun teemavuosi .
islaminuskoisten	islam#uskoinen|islamin#uskoinen	islamin#uskoinen	Siinä mielessä yhteinen päätöslauselma , joka on mielestäni hyvin yleisluonteinen , olisi voinut sisältää maininnan kristittyjen ja kaikkien muiden kuin	islaminuskoisten	poikkeuksellisen julmasta vainosta Intian naapurimaassa Pakistanissa .
kansanosan	kansa#osa|kansan#osa	kansan#osa	Yhdistyneiden Kansakuntien maailman elintarvikeohjelmasta käsin on annettu meille hälytys hyvin vähän aikaa sitten ja sanottu , että mikäli tilanne jatkuu nykyisellään , ohjelman avulla voidaan tyydyttää ainoastaan kolmen kuukauden ajan eniten kärsivän	kansanosan	tarpeista puolet .
maantieliikenne	maan#tie#liikenne|maa#tie#liikenne	maan#tie#liikenne	Näitä olivat lento- , rautatie- ja	maantieliikenne	, meri- , joki- ja järviliikenne , merikalastus , muu merellä tehtävä työ ja lääkärien harjoittelu .
karjankasvatusta	karja#kasvatus|karjan#kasvatus	karjan#kasvatus	Oli siis aiheellista äänestää tämän mietinnön puolesta , jotta lopultakin edistettäisiin sellaista	karjankasvatusta	, joka selviää ilman mikrobilääkkeitä .
terveydenhuoltoalaa	terveyden#huolto#ala|terveys#huolto#ala	terveyden#huolto#ala	On aivan totta , että terveydenhuoltojärjestelmät ovat useimmissa eteläisissä maissa puutteellisia , mutta ongelma ei ratkea	terveydenhuoltoalaa	yksityistämällä .
ihmisoikeuskysymysten	ihmis#oikeus#kysymys|ihminen#oikeus#kysymys	ihmis#oikeus#kysymys	Mielestäni asiaa on syytä tarkastella ja myös	ihmisoikeuskysymysten	osalta , koska meillä ei vaikuta olevan minkäänlaisia selkeitä periaatteita ja rakenteita , vaan yksinkertaisesti hyväksymme eri asioita eri aloilla .
muurien	muurat|muura|muuri	muuri	Noina aikoina vapauden ja demokratian kaipuu johti piikkilanka-aitojen kaatumiseen ,	muurien	romahtamiseen ja itsenäisyyden palauttamiseen , kaikki siinä uskossa , että se oli oikea tapa yhdentää ja yhdistää maanosamme .
tauko	tau|tauko	tauko	Meidän olisi pidettävä nyt	tauko	ja järjestettävä loput äänestykset klo 17.00 tänä iltana .
kyynisyyteensä	kyyn#isyys|kyy#isyys	kyynisyys	Nyt Yhdysvaltojen presidentti on osoittanut	kyynisyyteensä	todetessaan , että vaikka Irak sallisi asetarkastajat , ongelma ratkeaa ainoastaan sodan avulla .
kansanäänestyksen	kansan#äänestys|kansa#äänestys	kansan#äänestys	onko neuvosto alkanut laatia suunnitelmaa , jossa käsitellään Euroopan unionin osallistumista ja sitä , miten	kansanäänestyksen	järjestämiseen tarvittava apu annetaan sekä miten tuetaan riittävästi niitä pakolaisia , joiden on palattava kotikyliinsä ?
käymissään	käyminen#sää|käydä#sää|käyminen#säkä|käydä#säkä	käydä	Komissio ansaitsee suuret kiitokset siitä , että se on taistellut yksityisyyden puolesta Yhdysvaltojen kanssa	käymissään	lentokoneiden matkustajaluetteloja koskevissa neuvotteluissa .
presidentinvaaleissa	presidentin#vaali|presidentti#vaali|presidentti#vaalea	presidentti#vaalit	Emme saa auttaa yhtään niitä Yhdysvaltojen politiikan voimia , joilla on eristäytymispyrkimyksiä ja joista monet ovat nyt kohottaneet äänensä Yhdysvaltojen	presidentinvaaleissa	.
kansanterveyteen	kansan#terveys|kansa#terveys	kansan#terveys	Elintarvikkeiden laatu vaikuttaa	kansanterveyteen	.
lainvalvontaviranomaisista	laki#valvonta#virka#omainen|laki#valvonta#viran#omainen	lain#valvonta#viranomainen	Niinpä olen täysin samaa mieltä esittelijän kannasta , jossa hän sanoo , ettei pidä tyytyä poliisipäällystöön kuuluvien virkamiesten työryhmän perustamiseen ja että on välttämätöntä saada aikaan monialainen työryhmä , joka koostuu poliisin ja tullin päälliköistä ja muista	lainvalvontaviranomaisista	, jotta todellinen käytännön yhteistyö saataisiin perustettua mahdollisimman nopeasti .
epäjohdonmukaisuuksiin	epä#johdon#mukaisuus|epä#johto#mukaisuus	epä#johdon#mukaisuus	Tässä päätöslauselmaesityksessä on kuitenkin sorruttu liioitteluun ja	epäjohdonmukaisuuksiin	.
Kašmirissa	kašmir|kašmiri	Kašmir	Tämä parlamentti tuomitsee voimakkaasti kaikki ihmisoikeusrikkomustoimet alueella ja vaatii kaikkia hallituksia , joita asia koskee , osoittamaan voimakasta tahtoa ylläpitää laillisuusperiaatetta ja oikeutta ja lisätä ponnistelujaan varmistaakseen täydelliset tutkimukset poliittisesti motivoituneista rikoksista , jotka on tehty Jammussa ja	Kašmirissa	menneisyydessä .
oikeudenmukaisia	oikeus#mukainen|oikeuden#mukainen	oikeuden#mukainen	Mielestäni meidän onkin oltava	oikeudenmukaisia	ja lujia , ja vain tämä yhdistelmä tuottaa tuloksia .
toissijaisuus	toinen#sijaisuus|tois#sijaisuus|toinentri#sijaisuus	tois#sijaisuus 	Tiedämme kyllä -	toissijaisuus	velvoittaa - että direktiivin muuttaminen , johon pyrimme , voi ainoastaan korjata kehystä , jonka perusteella jäsenvaltioiden on toimittava sellaisten tavoitteiden täyttämiseksi , jotka haluaisin tiivistää seuraavasti :
toissijaisena	toinentri#sijainen|tois#sijainen|toinen#sijainen	tois#sijainen	Virtuaalisen liikkuvuuden on kuitenkin pysyttävä aina	toissijaisena	.
häkeissä	häke|häkki	häkki	Tavanomaisissa	häkeissä	tuotettujen munien markkinointi ei siten ole lain mukaan enää sallittu tammikuusta 2012 alkaen .
terveydenhuoltopalveluja	terveyden#huolto#palvelu|terveys#huolto#palvelu	terveyden#huolto#palvelu	Miksi komissio ei ota huomioon kaikkia omista verkostoistaan saamiaan tuhansia valituksia , jotka koskevat muun muassa rajat ylittävää kauppaa , matkoja ,	terveydenhuoltopalveluja	?
sääntelykomitea	säännellä#komitea|sääntely#komitea	sääntely#komitea	Direktiivin N:o 18/2001/EY mukainen	sääntelykomitea	on toimivaltainen tekemään direktiivin 21 artiklan 2 kohdassa säädettyjä raja-arvoja koskevia päätöksiä , jotka koskevat vapautusta merkintävelvollisuudesta .
vaihtoehtoisia	vaihto#ehtoisa|vaihto#ehtoinen	vaihto#ehtoinen	Arvoisa komission jäsen , haluan tiedemiehenä esittää myös toisen huomautuksen , eli sen , että vaikka	vaihtoehtoisia	menetelmiä on tärkeää kehittää , tukea ja rahoittaa , ne eivät koskaan voi - ja sanon tämän tiedemiehenä , joka on työskennellyt 35 vuotta laboratoriossa - korvata eläimen ja ihmisen kehon monimuotoisuutta .
neuvottelutuloksia	neuvotella#tulos|neuvottelu#tulos	neuvottelu#tulos	Entisenä työmarkkinajärjestön neuvottelijana olen tottunut puolustamaan	neuvottelutuloksia	.
Fontaine	fot#tau|fot#tai	Fontaine	Mielestäni meidän on syytä antaa hänelle tukemme - ja panen arvoa sille , että puhemiehemme	Fontaine	on myös antanut oman tukensa .
Elintarvikemarkkinoilla	elin#tarvike#markkinat|elin#tarvike#markkina	elin#tarvike#markkinat		Elintarvikemarkkinoilla	ennen nykyistä talouskriisiä vallinnut jännite on osoittanut tuotannon ja kulutuksen välisen tasapainon horjuvuuden kaikkialla maailmassa .
tiedonsiirtojen	tieto#siirto|tiedon#siirto	tiedon#siirto	Näin ollen toteutettujen	tiedonsiirtojen	suhteellisuus on edelleen huomattava ongelma .
arvonantoa	arvon#anto|arvo#anto	arvon#anto	Jos se toimii niin kuin juuri ehdotin , se ei vain täytä Palestiinan kansan odotuksia , vaan se vahvistaa suotuisaa ilmapiiriä oikeudenmukaiselle rauhalle myös Israelissa ja antaa maailmalle	arvonantoa	herättävän ja luotettavan kuvan itsestään .
kannanoton	kanta#oto|kanta#otto|kannan#otto|kanna#otto|kanna#oto	kannan#otto	Ainoastaan Euroopan unionin erittäin lujan poliittisen	kannanoton	avulla voidaan nykyinen kriisi muuntaa hyödylliseksi vaiheeksi kohti maailmanlaajuista edistystä .
Soulissa	Souli|Soul	Soul	lokakuuta 2010 , jolloin G20-ministerikokous oli alkamassa ja odotimme asioiden etenemistä	Soulissa	.
elintarvikeavulla	elin#tarvike#apu|elin#tarvike#avu	elin#tarvike#apu	Väliaikaisesti käyttöön asetetaan reilut 40 miljoonaa euroa , joilla tuetaan maata seuraavien kahden vuoden aikana teknisellä avulla ,	elintarvikeavulla	ja erityisellä makrotaloudellisella rahoitusavulla .
erityistoimenpiteitä	erityis#toimen#pide|erityis#toimi#pide	erityis#toimen#pide	Kannatamme yksilöllisempien sääntöjen soveltamista sekä poikkeuksia ja täsmällisiä , räätälöityjä	erityistoimenpiteitä	, jotka vastaavat asianmukaisesti syrjäisimpien alueiden taloudellisia edellytyksiä ja ovat suotuisampia niiden tuotantokyvyn kannalta .
suin	suka|suu	suu	Toivon - ja sanon tämän hymyssä	suin	- että tämä vastaus , jonka olen antanut Euroopan komission puolesta omalla äidinkielelläni , tarjoaa jäsen Rübigille hyödyllisen välineen hänen innokkaan ranskanopiskelunsa jatkamiseksi koko hänen Euroopan parlamentin jäsenyytensä ajan .
edistämistoimissa	edistää#toimi|edistäminen#toimi	edistämis#toimi	Talous- ja finanssikriisi , ilmastonmuutoksen vaikutukset ja ikääntyvä yhteiskunta ovat kaikki tekijöitä , jotka Euroopan komission ja jäsenvaltioiden on otettava huomioon sukupuolten tasa-arvon	edistämistoimissa	.
energianlähteestä	energian#lähde|energia#lähde	energian#lähde	Jos häntä ei olisi keskeytetty , hän olisi puheenvuoronsa päätteeksi todennut , että EU:n pitäisi edistää - ja komission ja neuvoston pitäisi rahoittaa - Kaspianmeren alueen halki Keski-Aasiaan kulkevaa kaasulinjaa , jotta EU ei olisi riippuvainen vain yhdestä	energianlähteestä	ja jotta me emme joutuisi erään naapurimaamme poliittisten tavoitteiden uhriksi .
suojatoimenpiteisiin	suoja#toimi#pide|suoja#toimen#pide	suoja#toimen#pide	Ongelmien kasaantumisen takia komissio on Italian ja Espanjan hallitusten pyynnöstä ryhtynyt	suojatoimenpiteisiin	viime helmikuussa koskien riisin tuontia merentakaisista maista ja alueilta .
meripeninkulmaa	meri#peni#kulma|meri#penin#kulma	meri#penin#kulma	Komissio ehdottaa pohjatroolien käytön kieltämistä tietyillä alueilla , joilla on kaikkein herkimpiä luontotyyppejä edustavia merenalaisia vuoria ja jotka sijaitsevat 200	meripeninkulmaa	Azorien , Madeiran ja Kanariansaarten ympärillä .
maanmieheltäni	maan#mies|maa#mies	maan#mies	Kun kysyin eräältä	maanmieheltäni	hänen mielipidett
